"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Automated Smoke Testing - Android","1","0","Full Smoke Cycle","0"
"0","","0","","1","0","","0"
