"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","64973","test_smoke","tests.android.smoke","2026-04-21","passed","2026-04-21","TestAndroidLoginSmoke","test_smoke","",""
"","74384","test_smoke","","2026-04-21","passed","2026-04-21","","","",""
